,Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status,Status_New,Status_0,Status_1,Status_2
30,9003,1,150.0,0,0,1,1,0,21,11.857142857142858,10.571428571428571,1,1,False,True,False
31,9070,1,130.0,0,0,1,1,0,20,12.833333333333334,13.4,2,1,False,False,True
32,9147,1,138.8,0,0,0,1,0,18,11.333333333333334,13.5,1,1,False,True,False
33,8014,0,134.5,0,0,1,0,0,19,12.666666666666666,14.375,2,1,False,False,True
34,9991,0,131.4,0,0,1,1,0,34,12.4,13.428571428571429,2,1,False,False,True
35,33,1,102.5,0,1,0,1,0,37,0.0,10.0,0,0,True,False,False
36,9119,1,128.8,0,0,1,1,0,43,0.0,0.0,0,0,True,False,False
37,9147,1,122.9,0,0,1,0,0,55,10.0,12.0,0,0,True,False,False
38,9991,0,113.9,0,0,1,0,0,39,11.0,11.6,2,1,False,False,True
39,9130,1,120.0,0,1,0,0,0,20,11.666666666666666,12.0,0,0,True,False,False
40,9773,1,121.1,0,1,1,0,0,18,12.75,0.0,0,0,True,False,False
41,9147,1,120.4,0,0,1,0,0,22,14.8,15.8,2,1,False,False,True
42,9500,1,100.6,1,0,1,0,0,22,13.928,14.342857142857142,2,1,False,False,True
43,9773,1,121.4,0,0,0,0,0,20,13.0,13.8,0,0,True,False,False
44,9991,0,109.7,0,0,1,0,0,29,0.0,0.0,0,0,True,False,False
45,9991,0,134.1,0,0,1,0,0,24,11.5,14.333333333333334,1,1,False,True,False
46,9238,1,127.6,0,0,1,0,0,18,11.666666666666666,13.2,2,1,False,False,True
47,9500,1,132.4,0,0,1,0,1,22,13.516666666666666,13.771428571428572,2,1,False,False,True
48,8014,0,133.4,0,0,1,0,1,21,11.5,13.285714285714286,2,1,False,False,True
49,9238,1,126.1,0,0,1,0,1,19,12.333333333333334,12.833333333333334,2,1,False,False,True
50,9254,1,113.5,0,0,1,0,1,24,13.666666666666666,14.166666666666666,2,1,False,False,True
51,9500,1,121.3,0,0,1,0,1,19,11.833333333333334,11.833333333333334,1,1,False,True,False
52,9773,1,121.8,0,0,1,0,1,20,14.0,11.0,1,1,False,True,False
53,9130,1,159.3,0,0,1,0,0,19,14.714285714285714,15.8,2,1,False,False,True
54,9991,0,120.0,0,0,1,0,0,27,10.6,11.0,0,0,True,False,False
55,9500,1,129.1,0,0,1,0,0,18,13.044444444444444,13.595,2,1,False,False,True
56,9254,1,130.0,0,0,1,0,0,39,0.0,0.0,0,0,True,False,False
57,9130,1,155.3,0,0,1,0,0,27,13.0,12.9,0,0,True,False,False
58,9500,1,139.8,0,0,1,0,0,18,14.935,14.935,2,1,False,False,True
59,171,1,115.2,0,0,1,0,0,18,0.0,0.0,1,1,False,True,False
60,9500,1,114.9,0,0,1,0,0,18,13.133333333333333,12.221428571428572,2,1,False,False,True
61,9238,1,131.9,0,0,1,0,1,21,12.0,12.0,2,1,False,False,True
62,171,1,126.0,0,0,1,1,1,19,0.0,0.0,1,1,False,True,False
63,9070,1,130.2,0,0,1,1,0,19,11.4,10.0,1,1,False,True,False
64,9070,1,120.9,0,0,1,1,0,24,0.0,0.0,1,1,False,True,False
65,9500,1,126.0,0,0,1,1,0,29,11.9,11.0,0,0,True,False,False
66,171,1,128.2,0,0,1,1,1,19,0.0,0.0,2,1,False,False,True
67,9003,1,130.0,0,0,1,1,0,23,12.571428571428571,12.428571428571429,2,1,False,False,True
68,9147,1,120.1,0,1,1,1,0,19,11.2,10.75,0,0,True,False,False
69,9254,1,100.0,0,0,1,1,0,26,12.0,10.8,1,1,False,True,False
70,9147,1,134.0,0,0,1,1,0,18,0.0,0.0,1,1,False,True,False
71,9500,1,130.8,0,0,1,1,0,24,11.975,13.75,2,1,False,False,True
72,171,1,135.8,0,0,1,1,0,19,0.0,0.0,0,0,True,False,False
73,9254,1,111.7,0,0,1,1,0,18,11.666666666666666,12.0,0,0,True,False,False
74,9773,1,132.9,0,0,1,1,0,18,12.333333333333334,12.333333333333334,2,1,False,False,True
75,9147,1,115.5,0,1,1,1,0,18,10.333333333333334,10.857142857142858,0,0,True,False,False
76,9254,1,106.0,0,0,1,1,1,21,10.5,11.0,0,0,True,False,False
77,9773,1,120.3,0,1,1,1,1,19,13.666666666666666,13.333333333333334,2,1,False,False,True
78,9500,1,130.8,0,0,1,1,1,22,14.842857142857142,15.055555555555555,2,1,False,False,True
79,8014,0,117.0,0,0,1,1,0,33,12.0,11.666666666666666,2,1,False,False,True
80,9853,1,110.2,0,0,1,1,0,20,12.2,12.2,0,0,True,False,False
81,9991,0,155.7,0,0,1,1,0,35,0.0,0.0,0,0,True,False,False
82,9003,1,180.4,0,1,1,1,0,24,12.166666666666666,13.3,0,0,True,False,False
83,9254,1,125.5,0,0,1,1,0,18,12.0,11.333333333333334,1,1,False,True,False
84,8014,0,110.0,0,0,1,0,0,33,11.0,11.0,2,1,False,False,True
85,9500,1,161.0,0,0,1,0,1,22,13.08,13.08,2,1,False,False,True
86,9670,1,100.0,0,0,1,0,1,25,10.5,11.6,2,1,False,False,True
87,9070,1,117.6,0,0,1,1,0,20,10.666666666666666,11.2,2,1,False,False,True
88,9147,1,128.7,0,0,1,1,0,23,14.0,13.8,1,1,False,True,False
89,9119,1,112.2,0,1,1,1,0,18,10.0,0.0,1,1,False,True,False
90,9500,1,100.8,0,0,1,1,0,24,0.0,0.0,0,0,True,False,False
91,9773,1,105.0,0,0,0,0,0,21,14.0,13.5,2,1,False,False,True
92,9130,1,100.0,0,0,1,0,0,26,12.0,0.0,0,0,True,False,False
93,9853,1,115.5,0,0,1,0,0,39,12.666666666666666,0.0,0,0,True,False,False
94,8014,0,114.0,0,0,1,0,0,44,11.875,12.333333333333334,2,1,False,False,True
95,9119,1,137.0,0,0,1,1,0,19,14.0,13.25,1,1,False,True,False
96,9773,1,124.9,0,0,1,0,0,18,13.666666666666666,13.333333333333334,2,1,False,False,True
97,9500,1,120.3,0,0,1,0,1,18,13.75,14.47777777777778,2,1,False,False,True
98,9085,1,134.3,0,0,1,0,0,19,14.2,13.8,1,1,False,True,False
99,9500,1,111.5,0,1,0,0,0,19,11.96,0.0,0,0,True,False,False
100,9085,1,128.8,0,0,1,0,0,21,12.875,13.4,0,0,True,False,False
101,171,1,110.0,0,0,1,0,0,20,0.0,0.0,2,1,False,False,True
102,8014,0,113.5,0,0,1,0,0,36,0.0,0.0,0,0,True,False,False
103,9003,1,160.0,0,0,1,0,0,43,14.63157894736842,14.23076923076923,2,1,False,False,True
104,9853,1,117.4,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
105,9070,1,122.2,0,1,1,0,0,20,13.0,12.272727272727272,2,1,False,False,True
106,9238,1,118.2,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
107,9085,1,106.7,0,0,1,0,0,20,14.2,13.25,0,0,True,False,False
108,9500,1,108.2,0,0,1,0,0,20,13.266666666666666,12.3,0,0,True,False,False
109,9853,1,107.0,0,0,1,0,0,20,11.666666666666666,13.0,1,1,False,True,False
110,9238,1,136.1,0,0,1,0,0,18,13.857142857142858,15.0,2,1,False,False,True
111,9147,1,115.3,0,0,1,0,1,18,13.0,11.0,1,1,False,True,False
112,9085,1,139.8,0,0,1,0,0,19,13.4,12.8,2,1,False,False,True
113,9773,1,157.0,0,0,1,0,0,18,12.666666666666666,12.571428571428571,2,1,False,False,True
114,9500,1,131.0,0,0,1,0,0,18,12.516666666666666,12.516666666666666,0,0,True,False,False
115,9500,1,100.0,0,0,1,0,0,20,11.616666666666667,13.0,1,1,False,True,False
116,9238,1,140.4,0,0,1,0,1,20,10.0,10.75,1,1,False,True,False
117,9147,1,113.4,0,0,1,0,0,20,10.333333333333334,10.666666666666666,1,1,False,True,False
118,9085,1,137.0,0,0,1,0,0,18,13.142857142857142,11.4,2,1,False,False,True
119,9147,1,121.8,0,0,1,0,0,18,12.6,14.0,2,1,False,False,True
120,9254,1,131.0,0,0,1,0,0,21,11.0,11.0,0,0,True,False,False
121,9147,1,118.6,0,0,1,0,0,19,10.8,11.25,2,1,False,False,True
122,171,1,122.3,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
123,9670,1,127.9,0,0,1,0,1,19,12.8,14.2,2,1,False,False,True
124,9085,1,121.3,0,0,1,0,0,19,14.166666666666666,12.2,2,1,False,False,True
125,9556,1,117.1,0,0,1,0,0,19,12.1,0.0,0,0,True,False,False
126,9085,1,160.0,0,0,1,0,0,20,14.166666666666666,13.77777777777778,2,1,False,False,True
127,9853,1,145.3,0,0,1,0,1,18,12.8,13.4,1,1,False,True,False
128,9238,1,122.6,0,0,1,0,0,18,13.0,13.666666666666666,2,1,False,False,True
129,9500,1,128.0,0,0,1,0,0,19,13.467142857142855,15.011111111111113,2,1,False,False,True
130,9500,1,124.9,0,0,1,0,1,18,13.2375,13.742857142857144,0,0,True,False,False
131,9070,1,123.7,0,0,1,0,0,18,12.333333333333334,13.0,2,1,False,False,True
132,9147,1,120.1,0,0,1,0,0,19,12.4,14.6,2,1,False,False,True
133,9500,1,131.7,0,0,1,0,0,19,14.0,0.0,0,0,True,False,False
134,9238,1,133.2,0,0,1,0,0,20,11.666666666666666,11.714285714285714,2,1,False,False,True
135,9670,1,109.3,0,1,0,0,1,19,12.0,12.5,0,0,True,False,False
136,9670,1,113.0,0,0,1,0,0,20,12.2,11.5,2,1,False,False,True
137,9773,1,157.9,0,1,1,0,1,18,14.833333333333334,14.833333333333334,2,1,False,False,True
138,9500,1,112.1,0,0,1,0,1,20,13.188,12.892857142857142,1,1,False,True,False
139,9500,1,174.7,0,0,1,0,0,18,17.125,17.5875,2,1,False,False,True
140,9500,1,128.8,0,0,1,0,0,19,12.666666666666666,12.666666666666666,2,1,False,False,True
141,9773,1,110.1,0,0,1,0,1,19,12.666666666666666,12.0,2,1,False,False,True
142,9147,1,99.7,0,1,0,0,0,22,0.0,0.0,1,1,False,True,False
143,9238,1,121.0,0,0,1,0,1,19,11.333333333333334,11.5,2,1,False,False,True
144,9500,1,131.7,0,0,1,0,1,19,13.605,12.33125,2,1,False,False,True
145,9853,1,119.1,0,0,1,0,1,19,12.0,10.8,2,1,False,False,True
146,9254,1,124.7,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
147,9254,1,117.2,0,0,1,0,0,20,11.2,11.666666666666666,0,0,True,False,False
148,9147,1,128.8,0,0,1,0,0,18,13.375,14.166666666666666,2,1,False,False,True
149,9500,1,131.5,0,0,1,0,1,20,13.863333333333337,14.178571428571429,2,1,False,False,True
150,171,1,121.7,0,0,1,0,0,18,0.0,0.0,1,1,False,True,False
151,9085,1,123.4,0,0,1,0,0,19,12.4,13.4,2,1,False,False,True
152,9853,1,124.7,0,0,1,0,0,18,12.333333333333334,10.833333333333334,1,1,False,True,False
153,9853,1,132.8,0,0,1,0,0,18,13.333333333333334,11.8,2,1,False,False,True
154,9853,1,108.7,0,0,1,0,0,21,12.666666666666666,10.0,0,0,True,False,False
155,9853,1,138.1,0,0,1,0,0,19,12.0,11.5,0,0,True,False,False
156,9147,1,126.5,0,0,1,0,1,18,10.6,11.8,2,1,False,False,True
157,9238,1,127.4,0,0,1,0,1,18,12.25,11.857142857142858,2,1,False,False,True
158,9238,1,123.6,0,0,1,0,0,20,11.0,11.833333333333334,2,1,False,False,True
159,8014,0,122.0,0,0,1,0,1,24,11.0,12.6,2,1,False,False,True
160,9670,1,118.2,0,0,1,0,0,19,13.166666666666666,13.0,0,0,True,False,False
161,9500,1,123.9,0,0,1,0,1,18,12.855555555555554,12.761111111111113,2,1,False,False,True
162,9500,1,125.8,0,0,1,0,0,18,14.91875,15.355,2,1,False,False,True
163,9853,1,123.3,0,0,1,0,0,21,11.5,11.0,0,0,True,False,False
164,9670,1,124.4,0,0,1,0,0,19,14.2,14.2,2,1,False,False,True
165,9773,1,126.0,0,0,1,0,1,19,12.5,13.0,2,1,False,False,True
166,9003,1,170.0,0,1,1,0,0,47,0.0,0.0,1,1,False,True,False
167,9238,1,121.5,0,0,1,0,0,19,11.666666666666666,11.0,2,1,False,False,True
168,9500,1,130.0,0,0,1,0,0,29,14.257142857142856,14.257142857142856,2,1,False,False,True
169,9238,1,117.0,0,0,1,0,0,21,12.0,11.333333333333334,0,0,True,False,False
170,9085,1,130.0,0,0,1,0,0,28,11.25,10.5,1,1,False,True,False
171,9556,1,108.0,0,0,1,0,0,20,12.457142857142856,13.5625,2,1,False,False,True
172,9500,1,132.3,0,0,1,0,0,19,11.683333333333332,11.683333333333332,2,1,False,False,True
173,8014,0,148.0,0,0,1,0,0,26,11.666666666666666,12.0,2,1,False,False,True
174,9254,1,122.6,0,1,0,0,0,20,11.75,13.166666666666666,0,0,True,False,False
175,9670,1,123.0,0,0,1,0,1,18,11.666666666666666,13.5,1,1,False,True,False
176,9853,1,102.5,0,0,1,0,0,27,13.2,12.0,2,1,False,False,True
177,9500,1,113.3,0,0,1,0,0,20,11.95,11.95,0,0,True,False,False
178,9853,1,133.0,0,0,1,0,0,18,12.4,10.4,0,0,True,False,False
179,9500,1,140.0,0,0,1,0,0,33,14.35,14.583333333333334,0,0,True,False,False
180,9853,1,128.3,0,0,1,0,0,35,12.61904761904762,12.789473684210526,2,1,False,False,True
181,9991,0,140.0,0,0,1,0,1,26,12.666666666666666,13.166666666666666,1,1,False,True,False
182,9773,1,104.0,0,1,0,0,0,27,12.0,0.0,0,0,True,False,False
183,9070,1,122.3,0,0,0,0,0,19,12.166666666666666,0.0,0,0,True,False,False
184,9254,1,135.0,0,0,1,0,0,20,0.0,0.0,0,0,True,False,False
185,9147,1,119.1,0,1,0,0,0,20,10.0,10.571428571428571,0,0,True,False,False
186,9238,1,126.6,0,1,0,0,0,21,11.5,10.0,1,1,False,True,False
187,9500,1,129.0,0,0,1,0,1,18,13.05,13.05,2,1,False,False,True
188,9085,1,162.3,0,0,1,0,0,24,11.0,0.0,0,0,True,False,False
189,9070,1,163.4,0,0,1,0,0,20,11.5,12.0,2,1,False,False,True
190,9254,1,121.5,0,0,1,0,1,21,12.0,12.5,2,1,False,False,True
191,8014,0,122.8,0,0,1,0,0,23,10.0,10.0,1,1,False,True,False
192,9147,1,118.0,0,0,1,0,0,24,0.0,0.0,0,0,True,False,False
193,9853,1,134.0,0,0,1,0,0,21,0.0,0.0,0,0,True,False,False
194,9500,1,129.8,0,0,1,0,0,18,12.242857142857144,12.242857142857144,2,1,False,False,True
195,9991,0,152.0,0,0,1,0,0,27,0.0,0.0,0,0,True,False,False
196,9500,1,122.8,0,0,1,0,0,18,12.93375,12.93375,2,1,False,False,True
197,9119,1,150.0,0,0,1,0,0,35,0.0,0.0,0,0,True,False,False
198,9853,1,131.8,0,0,1,0,0,18,12.571428571428571,14.428571428571429,2,1,False,False,True
199,9500,1,105.9,0,0,1,0,0,35,11.816666666666668,11.333333333333334,1,1,False,True,False
200,9085,1,132.1,0,0,1,0,0,19,13.75,14.333333333333334,2,1,False,False,True
201,9238,1,127.4,0,0,1,0,0,20,11.166666666666666,11.333333333333334,2,1,False,False,True
202,9500,1,129.5,0,0,1,0,0,18,12.324285714285711,12.324285714285711,2,1,False,False,True
203,9238,1,126.7,0,1,1,0,0,21,12.166666666666666,11.714285714285714,2,1,False,False,True
204,9238,1,116.5,0,0,1,0,1,18,11.142857142857142,11.25,2,1,False,False,True
205,9238,1,119.1,0,0,1,0,0,18,11.0,10.75,2,1,False,False,True
206,9500,1,126.5,0,0,1,0,0,18,12.914285714285713,12.914285714285713,2,1,False,False,True
207,9773,1,149.8,0,0,1,0,1,18,13.833333333333334,14.166666666666666,2,1,False,False,True
208,9085,1,115.1,0,0,1,0,0,19,13.857142857142858,13.4,2,1,False,False,True
209,9254,1,124.5,0,0,1,0,1,36,13.714285714285714,12.8,0,0,True,False,False
210,9500,1,128.3,0,0,1,0,1,18,12.642857142857142,12.642857142857142,2,1,False,False,True
211,9500,1,136.0,0,0,1,0,1,18,12.916666666666666,12.916666666666666,2,1,False,False,True
212,9130,1,140.0,0,0,1,0,1,20,15.625,15.857142857142858,2,1,False,False,True
213,9991,0,126.3,0,0,1,0,1,26,0.0,0.0,0,0,True,False,False
214,9773,1,126.9,0,0,1,0,0,21,11.714285714285714,12.0,2,1,False,False,True
215,9556,1,145.0,0,0,1,0,0,25,12.125,13.3125,1,1,False,True,False
216,9147,1,115.8,0,0,1,0,1,19,11.6,11.6,2,1,False,False,True
217,8014,0,100.0,0,0,1,0,0,24,10.0,0.0,0,0,True,False,False
218,8014,0,102.5,0,0,1,0,1,27,10.0,0.0,0,0,True,False,False
219,9085,1,131.5,0,0,1,0,0,21,0.0,13.5,0,0,True,False,False
220,9147,1,147.0,0,0,1,0,1,18,13.0,12.333333333333334,2,1,False,False,True
221,9853,1,122.5,1,0,1,0,1,19,13.333333333333334,14.5,2,1,False,False,True
222,9254,1,117.5,0,0,1,0,0,18,11.25,12.5,0,0,True,False,False
223,9500,1,150.0,0,0,1,0,1,19,13.85,12.19285714285714,2,1,False,False,True
224,9500,1,127.5,0,0,1,0,1,19,13.741666666666667,14.9125,2,1,False,False,True
225,9991,0,140.0,0,0,1,0,0,33,15.333333333333334,15.8,2,1,False,False,True
226,9147,1,130.0,0,0,1,0,0,45,11.0,13.8,2,1,False,False,True
227,9238,1,133.3,0,0,1,0,1,20,12.0,12.857142857142858,2,1,False,False,True
228,9670,1,97.0,0,0,1,0,0,28,0.0,0.0,0,0,True,False,False
229,9500,1,112.0,0,0,1,0,1,19,11.571428571428571,11.571428571428571,2,1,False,False,True
230,9254,1,123.6,0,0,1,0,0,18,12.857142857142858,12.666666666666666,2,1,False,False,True
231,9254,1,130.5,0,0,1,0,0,38,0.0,0.0,0,0,True,False,False
232,9670,1,133.3,0,0,1,0,0,19,13.0,13.2,2,1,False,False,True
233,9254,1,132.1,0,0,1,0,1,21,11.0,12.0,2,1,False,False,True
234,9147,1,100.0,0,0,1,0,0,21,12.0,15.0,0,0,True,False,False
235,9238,1,140.4,0,0,1,0,1,22,12.6,13.0,2,1,False,False,True
236,9853,1,141.7,0,0,1,0,1,18,13.4,13.166666666666666,2,1,False,False,True
237,9238,1,119.7,1,0,1,0,1,18,11.333333333333334,11.571428571428571,2,1,False,False,True
238,9130,1,122.5,0,0,0,0,0,25,13.5,14.25,0,0,True,False,False
239,9085,1,140.0,0,1,0,0,0,24,11.75,10.333333333333334,0,0,True,False,False
240,9500,1,119.4,0,0,1,0,0,19,12.471428571428572,11.4625,1,1,False,True,False
241,171,1,155.0,0,0,1,0,0,24,12.909090909090908,13.555555555555555,1,1,False,True,False
242,9147,1,119.1,0,0,1,0,1,20,11.6,13.6,2,1,False,False,True
243,9147,1,122.7,0,0,0,0,0,25,0.0,0.0,0,0,True,False,False
244,9147,1,117.9,0,0,1,0,1,20,12.9,12.363636363636363,2,1,False,False,True
245,9500,1,130.0,0,0,1,0,0,23,13.22,13.22,2,1,False,False,True
246,9500,1,120.0,0,0,1,0,1,19,13.151428571428571,13.151428571428571,2,1,False,False,True
247,9003,1,130.0,0,1,0,0,0,29,12.75,11.333333333333334,0,0,True,False,False
248,9254,1,116.8,0,0,1,0,0,21,11.333333333333334,12.25,2,1,False,False,True
249,9670,1,123.4,0,0,1,0,1,18,13.25,14.142857142857142,2,1,False,False,True
250,9070,1,125.4,0,0,1,0,0,19,12.4,12.4,1,1,False,True,False
251,9773,1,127.2,0,0,1,0,1,18,15.0,12.833333333333334,0,0,True,False,False
252,9085,1,103.4,0,0,1,0,0,19,14.4,13.0,2,1,False,False,True
253,9773,1,123.2,0,0,1,0,0,18,11.0,0.0,1,1,False,True,False
254,9147,1,124.1,0,0,1,0,0,18,12.4,10.8,2,1,False,False,True
255,9556,1,99.5,0,1,0,0,1,37,16.0,0.0,0,0,True,False,False
256,9991,0,124.9,0,0,1,0,0,29,13.571428571428571,12.333333333333334,2,1,False,False,True
257,9070,1,110.8,0,0,1,0,0,18,11.833333333333334,12.5,1,1,False,True,False
258,9238,1,118.9,0,0,1,0,1,19,11.666666666666666,12.666666666666666,2,1,False,False,True
259,9238,1,118.8,0,1,0,0,0,22,11.833333333333334,13.0,0,0,True,False,False
260,9254,1,137.0,0,0,1,0,1,20,11.166666666666666,10.6,2,1,False,False,True
261,8014,0,100.0,0,0,1,0,0,34,0.0,0.0,0,0,True,False,False
262,9119,1,120.0,0,1,0,0,0,30,11.75,12.166666666666666,0,0,True,False,False
263,9238,1,122.8,0,0,1,0,0,18,14.0,14.0,2,1,False,False,True
264,9238,1,121.6,0,0,1,0,0,18,12.833333333333334,12.0,2,1,False,False,True
265,9773,1,149.2,0,0,1,0,0,18,12.25,11.666666666666666,2,1,False,False,True
266,9500,1,140.0,0,0,1,0,0,18,14.828571428571427,14.828571428571427,2,1,False,False,True
267,9773,1,133.4,0,0,1,0,1,19,11.4,12.8,2,1,False,False,True
268,9070,1,126.2,0,0,1,0,1,19,13.0,12.5,2,1,False,False,True
269,9500,1,127.8,0,0,1,0,1,18,13.671428571428573,13.671428571428573,2,1,False,False,True
270,9003,1,150.0,0,0,1,0,1,21,12.666666666666666,12.8,2,1,False,False,True
271,9147,1,113.7,0,0,0,0,0,20,10.0,13.0,0,0,True,False,False
272,9147,1,117.8,0,0,1,0,0,20,13.5,12.333333333333334,2,1,False,False,True
273,9500,1,136.7,0,0,1,0,0,19,12.67,13.55,2,1,False,False,True
274,9238,1,144.7,0,0,1,0,0,20,14.5,15.428571428571429,2,1,False,False,True
275,9500,1,139.8,0,0,1,0,0,18,13.685714285714283,15.3875,2,1,False,False,True
276,9853,1,113.7,0,0,1,0,0,20,11.0,10.666666666666666,0,0,True,False,False
277,9130,1,140.0,0,1,0,0,0,29,11.555555555555555,13.2,0,0,True,False,False
278,9500,1,142.3,0,0,1,0,1,18,13.79714285714286,13.775,1,1,False,True,False
279,9500,1,119.6,0,0,1,0,1,20,14.00375,13.812857142857142,2,1,False,False,True
280,9147,1,123.7,0,0,1,0,1,22,12.0,11.4,2,1,False,False,True
281,8014,0,143.0,0,0,1,0,1,47,14.166666666666666,14.166666666666666,2,1,False,False,True
282,9991,0,100.1,0,0,1,0,0,31,14.0,13.8,2,1,False,False,True
283,9070,1,119.4,0,0,1,0,1,21,13.8,12.833333333333334,2,1,False,False,True
284,8014,0,122.1,0,0,1,0,0,21,12.8,11.857142857142858,2,1,False,False,True
285,9773,1,100.0,0,0,1,0,0,24,12.166666666666666,13.833333333333334,2,1,False,False,True
286,9070,1,113.9,0,0,1,0,0,18,12.5,12.333333333333334,1,1,False,True,False
287,8014,0,101.0,0,0,1,0,0,32,12.0,11.5,2,1,False,False,True
288,8014,0,111.8,0,0,1,0,1,19,10.833333333333334,11.5,2,1,False,False,True
289,9500,1,140.0,0,0,1,0,0,24,13.385,13.385,2,1,False,False,True
290,9085,1,124.4,0,0,1,0,0,19,15.666666666666666,14.5,2,1,False,False,True
291,9003,1,150.0,0,1,1,0,1,19,14.333333333333334,13.833333333333334,2,1,False,False,True
292,9003,1,140.0,0,0,1,0,0,24,11.428571428571429,13.0,1,1,False,True,False
293,9238,1,116.0,0,0,1,0,1,18,11.666666666666666,11.666666666666666,2,1,False,False,True
294,9070,1,135.6,0,0,1,0,1,19,12.0,11.333333333333334,0,0,True,False,False
295,9500,1,121.0,0,0,1,0,1,19,14.725714285714288,14.725714285714288,2,1,False,False,True
296,9773,1,118.7,0,0,1,0,1,18,14.166666666666666,13.666666666666666,2,1,False,False,True
297,9238,1,125.7,0,0,1,0,0,18,11.571428571428571,12.333333333333334,2,1,False,False,True
298,9556,1,107.1,0,0,1,0,0,20,12.5,13.1375,2,1,False,False,True
299,9500,1,125.5,0,0,1,0,0,18,12.86,12.86,2,1,False,False,True
300,9670,1,127.0,0,0,1,0,0,18,12.25,13.714285714285714,2,1,False,False,True
301,9085,1,113.5,0,0,1,0,1,21,12.0,12.2,2,1,False,False,True
302,9500,1,154.4,0,0,1,0,1,18,15.116666666666667,16.168888888888887,2,1,False,False,True
303,9670,1,122.0,0,1,0,0,0,18,12.5,10.25,0,0,True,False,False
304,9238,1,128.0,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
305,9670,1,115.5,0,0,1,0,0,19,11.0,11.0,1,1,False,True,False
306,9670,1,117.2,0,0,1,0,0,18,11.875,14.6,2,1,False,False,True
307,9130,1,150.0,0,0,1,0,0,34,11.0,0.0,0,0,True,False,False
308,9085,1,155.3,0,0,1,0,0,19,15.2,13.2,2,1,False,False,True
309,9130,1,120.0,0,1,0,0,0,19,11.6,11.0,0,0,True,False,False
310,9238,1,116.1,0,1,1,0,0,26,14.833333333333334,15.142857142857142,2,1,False,False,True
311,9853,1,118.9,0,0,1,0,0,21,11.333333333333334,11.333333333333334,0,0,True,False,False
312,9147,1,127.3,0,0,1,0,1,18,11.2,11.8,2,1,False,False,True
